doc_id,dominant_topic,confidence
1039,3,0.61828524
1040,3,0.771434
1041,2,0.9621806
1042,5,0.85087204
1043,1,0.5522137
1044,2,0.8258334
1045,3,0.71622026
1046,6,0.88139206
1047,4,0.72517
1048,2,0.9649772
1049,3,0.590026
1050,3,0.98349947
1051,2,0.9827731
1052,3,0.71476996
1053,4,0.64903986
1054,0,0.8746412
1055,3,0.78310865
1056,4,0.9613097
1057,2,0.44496477
1058,6,0.64756155
1059,0,0.5759347
1060,4,0.96130973
1061,3,0.9834996
1062,2,0.96497667
1063,4,0.80733716
1064,6,0.9616884
1065,6,0.958372
1066,3,0.64209926
1067,3,0.6341253
1068,4,0.7387362
1069,3,0.7796862
1070,0,0.9587179
1071,7,0.61326665
1072,0,0.5157667
1073,2,0.9821226
1074,6,0.8445341
1075,6,0.9544229
1076,0,0.95872194
1077,4,0.95795035
1078,6,0.6920669
1079,6,0.84334475
1080,5,0.75177234
1081,7,0.5443349
1082,3,0.58445823
1083,4,0.9579534
1084,3,0.60820186
1085,3,0.61710465
1086,4,0.95795906
1087,0,0.7101798
1088,4,0.5580179
1089,0,0.8580977
1090,0,0.9648158
1091,3,0.9820979
1092,0,0.50756544
1093,3,0.8156179
1094,6,0.9645197
1095,3,0.74673307
1096,3,0.8333458
1097,1,0.628375
1098,3,0.61894125
1099,3,0.70383435
1100,4,0.89747846
1101,6,0.9645186
1102,5,0.74091715
1103,0,0.6489311
1104,0,0.96481645
1105,3,0.8969628
1106,0,0.5660955
1107,6,0.96695715
1108,7,0.50745755
1109,2,0.98337734
1110,1,0.6154657
1111,3,0.6920178
1112,5,0.7498
1113,2,0.9649777
1114,3,0.668391
1115,3,0.62920696
1116,3,0.98282737
1117,3,0.59994894
1118,6,0.7084634
1119,3,0.63947207
1120,3,0.5267804
1121,3,0.9834995
1122,3,0.98412126
1123,0,0.96201026
1124,3,0.8926623
